source_id,source_type,domain,platform,mission,trust_object,assurance_layer,lifecycle_stage,evidence,threat,trust_method,blockchain_role,assumptions,evaluation_maturity,limitations,coding_status,title,year,doi_or_url
yahuza2021internet,peer-reviewed review,air,UAV/UAS,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,multiple security threats; privacy exposure,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Internet of Drones Security and Privacy Issues: Taxonomy and Open Challenges,2021,10.1109/access.2021.3072030
ch2020security,peer-reviewed primary study,air,UAV/UAS,cross-domain mission assurance,data product,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,multiple security threats; privacy exposure,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Security and privacy of UAV data using blockchain technology,2020,10.1016/j.jisa.2020.102670
barka2022towards,peer-reviewed primary study,air,UAV/UAS,cross-domain mission assurance,entity; platform/device,ledger/governance consistency; mission-use suitability,decision/action; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Towards a trusted unmanned aerial system using blockchain for the protection of critical infrastructure,2022,10.1002/ett.3706
jensen2019blockchain,peer-reviewed primary study,air,UAV/UAS,communications/data collection,link/path,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Blockchain Technology for Networked Swarms of Unmanned Aerial Vehicles (UAVs),2019,10.1109/wowmom.2019.8793027
karmakar2024blockchain,peer-reviewed primary study,air,UAV/UAS,cross-domain mission assurance,entity; platform/device,commitment/provenance integrity; ledger/governance consistency,admission/authentication; audit/revocation/recovery,"PUF mutual authentication, EVM smart-contract implementation, and simulated cost/throughput/delay comparisons",not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,"cloud-hosted peers, ground-station controller, modeled mobility, and K-means cluster formation",prototype and simulation (maturity level 3 for authentication service only),"cross-domain authentication is future work; no underwater, governance, or mission-outcome evaluation",lawful full text inspected; claim-level coding completed for review scope,A Blockchain-Based Distributed and Intelligent Clustering-Enabled Authentication Protocol for UAV Swarms,2024,10.1109/tmc.2023.3319544
han2022identity,peer-reviewed primary study,air,UAV/UAS,cross-domain mission assurance,entity; platform/device,commitment/provenance integrity; ledger/governance consistency,admission/authentication; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Identity Management and Authentication of a UAV Swarm Based on a Blockchain,2022,10.3390/app122010524
xiao2021blockchain,peer-reviewed primary study,air,UAV/UAS,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A Blockchain-Based Secure Crowd Monitoring System Using UAV Swarm,2021,10.1109/mnet.011.2000210
abualsauod2022hybrid,peer-reviewed primary study,air,UAV/UAS,communications/data collection,link/path,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,multiple security threats; privacy exposure,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A hybrid blockchain method in internet of things for privacy and security in unmanned aerial vehicles network,2022,10.1016/j.compeleceng.2022.107847
tan2022blockchain,peer-reviewed primary study,air,UAV/UAS,cross-domain mission assurance,entity; platform/device,commitment/provenance integrity; ledger/governance consistency,admission/authentication; audit/revocation/recovery,Fabric 1.4 smart-contract prototype plus formal/security analysis and simulated cryptographic cost comparisons,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,"cloud-hosted peers, sufficient peer availability, and base-station coverage across the mission area",prototype and simulation (maturity level 3 for authentication service only),explicitly unsuitable where UAVs cannot reach blockchain services; no observation or cross-domain mission validation,lawful full text inspected; claim-level coding completed for review scope,Blockchain-Assisted Distributed and Lightweight Authentication Service for Industrial Unmanned Aerial Vehicles,2022,10.1109/jiot.2022.3142251
liu2023lightweight,peer-reviewed primary study,air,UAV/UAS,communications/data collection,link/path,mission-use suitability,transmission/relay; decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Lightweight Trustworthy Message Exchange in Unmanned Aerial Vehicle Networks,2023,10.1109/tits.2021.3136304
aggarwal2021blockchain,peer-reviewed primary study,air,UAV/UAS,communications/data collection,link/path,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"Blockchain-Envisioned UAV Communication Using 6G Networks: Open Issues, Use Cases, and Future Directions",2021,10.1109/jiot.2020.3020819
kumari2020taxonomy,peer-reviewed review,air,UAV/UAS,communications/data collection,link/path,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A taxonomy of blockchain-enabled softwarization for secure UAV network,2020,10.1016/j.comcom.2020.07.042
islam2019bus,peer-reviewed primary study,air,UAV/UAS,cross-domain mission assurance,data product,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,BUS: A Blockchain-Enabled Data Acquisition Scheme With the Assistance of UAV Swarm in Internet of Things,2019,10.1109/access.2019.2930774
garcamagario2019security,peer-reviewed primary study,air,UAV/UAS,communications/data collection,link/path,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,multiple security threats,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Security in networks of unmanned aerial vehicles for surveillance with an agent-based approach inspired by the principles of blockchain,2019,10.1016/j.adhoc.2018.11.010
zhou2024towards,peer-reviewed primary study,air,UAV/UAS,communications/data collection,link/path,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Towards secure and resilient unmanned aerial vehicles swarm network based on blockchain,2024,10.1049/blc2.12050
phadke2024unifying,peer-reviewed primary study,air,UAV/UAS,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Unifying Sky and Chain: A Perspective on Blockchain’s Role in UAV Swarms,2024,10.1109/aibthings63359.2024.10863717
hawashin2024blockchain,peer-reviewed review,air,UAV/UAS,maritime logistics,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,"Blockchain applications in UAV industry: Review, opportunities, and challenges",2024,10.1016/j.jnca.2024.103932
nomikos2023survey,peer-reviewed review,air; surface/maritime,UAV/UAS; USV/maritime infrastructure,communications/data collection,link/path,foundational/contextual,transmission/relay,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"A Survey on UAV-Aided Maritime Communications: Deployment Considerations, Applications, and Future Challenges",2023,10.1109/ojcoms.2022.3225590
hu2024coordinated,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,navigation/localization,contextual/background,observation validity,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Coordinated Navigation Control of Cross-Domain Unmanned Systems via Guiding Vector Fields,2024,10.1109/tcst.2023.3323766
wei20233u,peer-reviewed primary study,air; underwater,UAV/UAS; UUV/IoUT,communications/data collection,link/path,foundational/contextual,transmission/relay,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,3U: Joint Design of UAV-USV-UUV Networks for Cooperative Target Hunting,2023,10.1109/tvt.2022.3220856
li2023survey,peer-reviewed review,surface/maritime,USV/maritime infrastructure,maritime search and rescue/observation,contextual/background,foundational/contextual,transmission/relay,"review of UAV, USV, UUV, and heterogeneous maritime search plus an illustrative USV--UAV platform",not title-coded,not applicable/title-insufficient,not central,maritime search missions and platform capabilities reported in the surveyed literature,review-level synthesis with limited platform integration,heterogeneous cooperative application remains early-stage and does not include mission-trust validation,lawful full text inspected; claim-level coding completed for review scope,"A survey of maritime unmanned search system: Theory, applications and future directions",2023,10.1016/j.oceaneng.2023.115359
bae2023survey,peer-reviewed review,surface/maritime,USV/maritime infrastructure,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Survey on the Developments of Unmanned Marine Vehicles: Intelligence and Cooperation,2023,10.3390/s23104643
wibisono2023survey,peer-reviewed review,underwater,UUV/IoUT,maritime search and rescue/observation,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"A Survey on Unmanned Underwater Vehicles: Challenges, Enabling Technologies, and Future Research Directions",2023,10.3390/s23177321
jahanbakht2021internet,peer-reviewed review,surface/maritime; underwater,USV/maritime infrastructure; UUV/IoUT,cross-domain mission assurance,data product,foundational/contextual,processing/fusion/sharing,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Internet of Underwater Things and Big Marine Data Analytics---A Comprehensive Survey,2021,10.1109/comst.2021.3053118
wei2022reliable,peer-reviewed review,underwater,UUV/IoUT,communications/data collection,link/path; data product,observation validity,sensing/collection; transmission/relay,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,Reliable Data Collection Techniques in Underwater Wireless Sensor Networks: A Survey,2022,10.1109/comst.2021.3134955
mohsan2022towards,peer-reviewed review,underwater,UUV/IoUT,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Towards the internet of underwater things: a comprehensive survey,2022,10.1007/s12145-021-00762-8
jouhari2019underwater,peer-reviewed review,underwater,UUV/IoUT,navigation/localization,link/path,observation validity,sensing/collection; transmission/relay,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"Underwater Wireless Sensor Networks: A Survey on Enabling Technologies, Localization Protocols, and Internet of Underwater Things",2019,10.1109/access.2019.2928876
gonzlezgarca2020autonomous,peer-reviewed primary study,underwater,UUV/IoUT,navigation/localization,link/path,observation validity; mission-use suitability,transmission/relay; decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"Autonomous Underwater Vehicles: Localization, Navigation, and Communication for Collaborative Missions",2020,10.3390/app10041256
wu2020cooperative,peer-reviewed primary study,underwater,UUV/IoUT,maritime search and rescue/observation,contextual/background,mission-use suitability,decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Cooperative Path Planning for Heterogeneous Unmanned Vehicles in a Search-and-Track Mission Aiming at an Underwater Target,2020,10.1109/tvt.2020.2991983
ke2022cooperative,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,maritime search and rescue/observation,contextual/background,mission-use suitability,decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Cooperative path planning for air--sea heterogeneous unmanned vehicles using search-and-tracking mission,2022,10.1016/j.oceaneng.2022.112020
stolfi2021uav,peer-reviewed primary study,air,UAV/UAS,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,UAV-UGV-UMV Multi-Swarms for Cooperative Surveillance,2021,10.3389/frobt.2021.616950
xue2021distributed,peer-reviewed primary study,air,UAV/UAS,cross-domain mission assurance,contextual/background,ledger/governance consistency,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Distributed Consensus of USVs under Heterogeneous UAV-USV Multi-Agent Systems Cooperative Control Scheme,2021,10.3390/jmse9111314
liu2023formation,peer-reviewed primary study,air; underwater,UAV/UAS; UUV/IoUT,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Formation Control for Mixed-Order UAVs--USVs--UUVs Systems under Cooperative and Optimal Control,2023,10.3390/jmse11040704
ke2023cross,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Cross-Domain Fixed-Time Formation Control for an Air-Sea Heterogeneous Unmanned System with Disturbances,2023,10.3390/jmse11071336
nomikos2024improving,peer-reviewed primary study,air; surface/maritime,UAV/UAS; USV/maritime infrastructure,communications/data collection,link/path,foundational/contextual,transmission/relay,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Improving Connectivity in 6G Maritime Communication Networks With UAV Swarms,2024,10.1109/access.2024.3360133
pang2026cooperative,peer-reviewed primary study,air; underwater,UAV/UAS; UUV/IoUT,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A cooperative heterogeneous formation control and motion planning design of 3U: UAV-USV-UUV systems,2026,10.1016/j.oceaneng.2025.123867
farah2024survey,peer-reviewed review,surface/maritime,USV/maritime infrastructure,cross-domain mission assurance,data product; entity,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A survey on blockchain technology in the maritime industry: Challenges and future perspectives,2024,10.1016/j.future.2024.03.046
li2021survey,peer-reviewed review,surface/maritime,USV/maritime infrastructure,maritime logistics,data product; entity,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A survey of blockchain with applications in maritime and shipping industry,2021,10.1007/s10257-020-00480-6
yang2019maritime,peer-reviewed primary study,surface/maritime,USV/maritime infrastructure,maritime logistics,data product; entity,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"Maritime shipping digitalization: Blockchain-based technology applications, future improvements, and intention to use",2019,10.1016/j.tre.2019.09.020
zhang2022blockchain,peer-reviewed primary study,surface/maritime,USV/maritime infrastructure,maritime logistics,entity; platform/device,commitment/provenance integrity; ledger/governance consistency,admission/authentication; transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A Blockchain-Based Authentication Scheme and Secure Architecture for IoT-Enabled Maritime Transportation Systems,2022,10.1109/tits.2022.3159485
yang2022efficient,peer-reviewed primary study,surface/maritime,USV/maritime infrastructure,maritime logistics,entity; platform/device,ledger/governance consistency,admission/authentication; transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,An Efficient Identity-Based Aggregate Signcryption Scheme With Blockchain for IoT-Enabled Maritime Transportation System,2022,10.1109/tgcn.2022.3163596
jiang2019securing,peer-reviewed review,underwater,UUV/IoUT,communications/data collection,link/path,foundational/contextual,transmission/relay,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,On Securing Underwater Acoustic Networks: A Survey,2019,10.1109/comst.2018.2864127
yisa2021security,peer-reviewed review,underwater,UUV/IoUT,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,multiple security threats,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Security challenges of Internet of Underwater Things: A systematic literature review,2021,10.1002/ett.4203
adam2024state,peer-reviewed review,underwater,UUV/IoUT,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,multiple security threats,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,State-of-the-Art Security Schemes for the Internet of Underwater Things: A Holistic Survey,2024,10.1109/ojcoms.2024.3474290
yang2018challenges,peer-reviewed primary study,underwater,UUV/IoUT,communications/data collection,link/path,observation validity,sensing/collection; transmission/relay,reported analysis/evaluation; detail reserved pending full-text check,multiple security threats,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"Challenges, Threats, Security Issues and New Trends of Underwater Wireless Sensor Networks",2018,10.3390/s18113907
ali2020recent,peer-reviewed primary study,underwater,UUV/IoUT,communications/data collection,link/path,foundational/contextual,transmission/relay,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Recent Advances and Future Directions on Underwater Wireless Communications,2020,10.1007/s11831-019-09354-8
