source_id,title,doi_or_url,priority,status,coding_status
islam2019bus,BUS: A Blockchain-Enabled Data Acquisition Scheme With the Assistance of UAV Swarm in Internet of Things,10.1109/access.2019.2930774,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
garcamagario2019security,Security in networks of unmanned aerial vehicles for surveillance with an agent-based approach inspired by the principles of blockchain,10.1016/j.adhoc.2018.11.010,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
zhou2024towards,Towards secure and resilient unmanned aerial vehicles swarm network based on blockchain,10.1049/blc2.12050,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
phadke2024unifying,Unifying Sky and Chain: A Perspective on Blockchain’s Role in UAV Swarms,10.1109/aibthings63359.2024.10863717,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
hawashin2024blockchain,"Blockchain applications in UAV industry: Review, opportunities, and challenges",10.1016/j.jnca.2024.103932,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
nomikos2023survey,"A Survey on UAV-Aided Maritime Communications: Deployment Considerations, Applications, and Future Challenges",10.1109/ojcoms.2022.3225590,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
hu2024coordinated,Coordinated Navigation Control of Cross-Domain Unmanned Systems via Guiding Vector Fields,10.1109/tcst.2023.3323766,background,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
wei20233u,3U: Joint Design of UAV-USV-UUV Networks for Cooperative Target Hunting,10.1109/tvt.2022.3220856,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
li2023survey,"A survey of maritime unmanned search system: Theory, applications and future directions",10.1016/j.oceaneng.2023.115359,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
bae2023survey,Survey on the Developments of Unmanned Marine Vehicles: Intelligence and Cooperation,10.3390/s23104643,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
wibisono2023survey,"A Survey on Unmanned Underwater Vehicles: Challenges, Enabling Technologies, and Future Research Directions",10.3390/s23177321,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
jahanbakht2021internet,Internet of Underwater Things and Big Marine Data Analytics---A Comprehensive Survey,10.1109/comst.2021.3053118,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
wei2022reliable,Reliable Data Collection Techniques in Underwater Wireless Sensor Networks: A Survey,10.1109/comst.2021.3134955,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
mohsan2022towards,Towards the internet of underwater things: a comprehensive survey,10.1007/s12145-021-00762-8,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
jouhari2019underwater,"Underwater Wireless Sensor Networks: A Survey on Enabling Technologies, Localization Protocols, and Internet of Underwater Things",10.1109/access.2019.2928876,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
gonzlezgarca2020autonomous,"Autonomous Underwater Vehicles: Localization, Navigation, and Communication for Collaborative Missions",10.3390/app10041256,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
wu2020cooperative,Cooperative Path Planning for Heterogeneous Unmanned Vehicles in a Search-and-Track Mission Aiming at an Underwater Target,10.1109/tvt.2020.2991983,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
ke2022cooperative,Cooperative path planning for air--sea heterogeneous unmanned vehicles using search-and-tracking mission,10.1016/j.oceaneng.2022.112020,background,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
stolfi2021uav,UAV-UGV-UMV Multi-Swarms for Cooperative Surveillance,10.3389/frobt.2021.616950,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
xue2021distributed,Distributed Consensus of USVs under Heterogeneous UAV-USV Multi-Agent Systems Cooperative Control Scheme,10.3390/jmse9111314,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
liu2023formation,Formation Control for Mixed-Order UAVs--USVs--UUVs Systems under Cooperative and Optimal Control,10.3390/jmse11040704,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
ke2023cross,Cross-Domain Fixed-Time Formation Control for an Air-Sea Heterogeneous Unmanned System with Disturbances,10.3390/jmse11071336,background,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
nomikos2024improving,Improving Connectivity in 6G Maritime Communication Networks With UAV Swarms,10.1109/access.2024.3360133,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
pang2026cooperative,A cooperative heterogeneous formation control and motion planning design of 3U: UAV-USV-UUV systems,10.1016/j.oceaneng.2025.123867,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
farah2024survey,A survey on blockchain technology in the maritime industry: Challenges and future perspectives,10.1016/j.future.2024.03.046,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
li2021survey,A survey of blockchain with applications in maritime and shipping industry,10.1007/s10257-020-00480-6,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
yang2019maritime,"Maritime shipping digitalization: Blockchain-based technology applications, future improvements, and intention to use",10.1016/j.tre.2019.09.020,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
zhang2022blockchain,A Blockchain-Based Authentication Scheme and Secure Architecture for IoT-Enabled Maritime Transportation Systems,10.1109/tits.2022.3159485,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
yang2022efficient,An Efficient Identity-Based Aggregate Signcryption Scheme With Blockchain for IoT-Enabled Maritime Transportation System,10.1109/tgcn.2022.3163596,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
jiang2019securing,On Securing Underwater Acoustic Networks: A Survey,10.1109/comst.2018.2864127,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
yisa2021security,Security challenges of Internet of Underwater Things: A systematic literature review,10.1002/ett.4203,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
adam2024state,State-of-the-Art Security Schemes for the Internet of Underwater Things: A Holistic Survey,10.1109/ojcoms.2024.3474290,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
yang2018challenges,"Challenges, Threats, Security Issues and New Trends of Underwater Wireless Sensor Networks",10.3390/s18113907,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
ali2020recent,Recent Advances and Future Directions on Underwater Wireless Communications,10.1007/s11831-019-09354-8,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
saeed2019underwater,"Underwater optical wireless communications, networking, and localization: A survey",10.1016/j.adhoc.2019.101935,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
diamant2018low,Low Probability of Detection for Underwater Acoustic Communication: A Review,10.1109/access.2018.2818110,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
zhu2024design,Design Guidelines on Trust Management for Underwater Wireless Sensor Networks,10.1109/comst.2024.3389728,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
jiang2020dynamic,A Dynamic Trust Evaluation and Update Mechanism Based on C4.5 Decision Tree in Underwater Wireless Sensor Networks,10.1109/tvt.2020.2999566,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
arifeen2020hidden,Hidden Markov Model based Trust Management Model for Underwater Wireless Sensor Networks,10.1145/3377049.3377054,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
liu2023survey,A Survey on Blockchain-Based Trust Management for Internet of Things,10.1109/jiot.2023.3237893,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
ahmed2019trust,"Trust and reputation for Internet of Things: Fundamentals, taxonomy, and open research challenges",10.1016/j.jnca.2019.102409,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
aaqib2023iot,IoT trust and reputation: a survey and taxonomy,10.1186/s13677-023-00416-8,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
junior2021survey,A Survey on Trustworthiness for the Internet of Things,10.1109/access.2021.3066457,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
bellini2020blockchain,Blockchain-Based Distributed Trust and Reputation Management Systems: A Survey,10.1109/access.2020.2969820,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
hbaieb2022survey,A survey of trust management in the Internet of Vehicles,10.1016/j.comnet.2021.108558,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
mohammadi2019trust,Trust-based recommendation systems in Internet of Things: a systematic literature review,10.1186/s13673-019-0183-8,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
alkhafajiy2020comitment,COMITMENT: A Fog Computing Trust Management Approach,10.1016/j.jpdc.2019.10.006,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
kumar2022leveraging,Leveraging blockchain for ensuring trust in IoT: A survey,10.1016/j.jksuci.2021.09.004,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
li2021blockchain,"Blockchain-based trust management in cloud computing systems: a taxonomy, review and future directions",10.1186/s13677-021-00247-5,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
syed2022zero,Zero Trust Architecture (ZTA): A Comprehensive Survey,10.1109/access.2022.3174679,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
veith2023road,The Road to Trustworthy 6G: A Survey on Trust Anchor Technologies,10.1109/ojcoms.2023.3244274,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
rose2020zero,Zero Trust Architecture,10.6028/nist.sp.800-207,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,official reference inspected; analytical mapping is authors' synthesis
fagan2020iot,IoT device cybersecurity capability core baseline,10.6028/nist.ir.8259a,background,lawful full-text artifact retained; inventory reconciled 7 September 2026,official reference inspected; analytical mapping is authors' synthesis
birkholz2023remote,Remote ATtestation procedureS (RATS) Architecture,10.17487/rfc9334,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,official reference inspected; analytical mapping is authors' synthesis
jsang2016subjective,Subjective Logic,10.1007/978-3-319-42337-1,background,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
mui2003computational,A computational model of trust and reputation,10.1109/hicss.2002.994181,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
kamvar2003eigentrust,The Eigentrust algorithm for reputation management in P2P networks,10.1145/775152.775242,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
androulaki2018hyperledger,Hyperledger fabric,10.1145/3190508.3190538,background,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
yaga2018blockchain,Blockchain technology overview,10.6028/nist.ir.8202,medium,retained full-text artifact not recorded; inspect source before detailed claims,official reference inspected; analytical mapping is authors' synthesis
ali2019applications,Applications of Blockchains in the Internet of Things: A Comprehensive Survey,10.1109/comst.2018.2886932,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
reyna2018blockchain,On blockchain and its integration with IoT. Challenges and opportunities,10.1016/j.future.2018.05.046,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
li2020survey,A survey on the security of blockchain systems,10.1016/j.future.2017.08.020,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
wang2019survey,A Survey on Consensus Mechanisms and Mining Strategy Management in Blockchain Networks,10.1109/access.2019.2896108,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
lashkari2021comprehensive,A Comprehensive Review of Blockchain Consensus Mechanisms,10.1109/access.2021.3065880,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
hafid2020scaling,Scaling Blockchains: A Comprehensive Survey,10.1109/access.2020.3007251,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
zhang2020analysis,Analysis of the main consensus protocols of blockchain,10.1016/j.icte.2019.08.001,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
dorri2017towards,Towards an Optimized BlockChain for IoT,10.1145/3054977.3055003,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
hang2019design,Design and Implementation of an Integrated IoT Blockchain Platform for Sensing Data Integrity,10.3390/s19102228,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
honarpajooh2021iot,IoT Big Data provenance scheme using blockchain on Hadoop ecosystem,10.1186/s40537-021-00505-y,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
hu2020survey,A survey on data provenance in IoT,10.1007/s11280-019-00746-1,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
pan2023data,Data Provenance in Security and Privacy,10.1145/3593294,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
singh2019decision,Decision Provenance: Harnessing Data Flow for Accountable Systems,10.1109/access.2018.2887201,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
kale2023provenance,Provenance documentation to enable explainable and trustworthy AI: A literature review,10.1162/dint_a_00119,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
hardjono2021towards,Towards an attestation architecture for blockchain networks,10.1007/s11280-021-00869-4,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
ott2023universal,Universal Remote Attestation for Cloud and Edge Platforms,10.1145/3600160.3600171,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
figueiredo2022arcadian,"ARCADIAN-IoT - Enabling Autonomous Trust, Security and Privacy Management for IoT",10.1007/978-3-031-20936-9_28,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
baciu2025secure,Secure Tiny Machine Learning on Edge Devices: A Lightweight Dual Attestation Mechanism for Machine Learning,10.3390/fi17020085,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
suhail2022trustworthy,Trustworthy Digital Twins in the Industrial Internet of Things With Blockchain,10.1109/mic.2021.3059320,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
khan2020iot,IoT-Blockchain Enabled Optimized Provenance System for Food Industry 4.0 Using Advanced Deep Learning,10.3390/s20102990,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
rahman2020secure,Secure and Provenance Enhanced Internet of Health Things Framework: A Blockchain Managed Federated Learning Approach,10.1109/access.2020.3037474,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
uddin2021survey,A survey on the adoption of blockchain in IoT: challenges and solutions,10.1016/j.bcra.2021.100006,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
monrat2019survey,"A Survey of Blockchain From the Perspectives of Applications, Challenges, and Opportunities",10.1109/access.2019.2936094,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
casino2019systematic,"A systematic literature review of blockchain-based applications: Current status, classification and open issues",10.1016/j.tele.2018.11.006,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
alladi2019blockchain,Blockchain Applications for Industry 4.0 and Industrial IoT: A Review,10.1109/access.2019.2956748,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
javaid2021blockchain,Blockchain technology applications for Industry 4.0: A literature-based review,10.1016/j.bcra.2021.100027,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
hewa2021survey,"Survey on blockchain based smart contracts: Applications, opportunities and challenges",10.1016/j.jnca.2020.102857,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
nguyen2020blockchain,Blockchain for 5G and beyond networks: A state of the art survey,10.1016/j.jnca.2020.102693,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
lnes2017blockchain,Blockchain in government: Benefits and implications of distributed ledger technology for information sharing,10.1016/j.giq.2017.09.007,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
zhou2020key,The key challenges and critical success factors of blockchain implementation: Policy implications for Singapore’s maritime industry,10.1016/j.marpol.2020.104265,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
liu2020fabric,Fabric-iot: A Blockchain-Based Access Control System in IoT,10.1109/access.2020.2968492,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
kshetri20181,1 Blockchain’s roles in meeting key supply chain management objectives,10.1016/j.ijinfomgt.2017.12.005,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
kshetri2017can,Can Blockchain Strengthen the Internet of Things?,10.1109/mitp.2017.3051335,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
javed2022integration,Integration of Blockchain Technology and Federated Learning in Vehicular (IoT) Networks: A Comprehensive Survey,10.3390/s22124394,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
shrimali2022blockchain,"Blockchain state-of-the-art: architecture, use cases, consensus, challenges and opportunities",10.1016/j.jksuci.2021.08.005,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
khan2021systematic,Systematic Literature Review of Challenges in Blockchain Scalability,10.3390/app11209372,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
brewer2000towards,Towards robust distributed systems (abstract),10.1145/343477.343502,background,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
holzinger2022information,"Information fusion as an integrative cross-cutting enabler to achieve robust, explainable, and trustworthy medical artificial intelligence",10.1016/j.inffus.2021.10.007,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
shafique2021detecting,Detecting Signal Spoofing Attack in UAVs Using Machine Learning Models,10.1109/access.2021.3089847,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
dang2022deep,Deep-Ensemble-Learning-Based GPS Spoofing Detection for Cellular-Connected UAVs,10.1109/jiot.2022.3195320,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
semanjski2020use,Use of Supervised Machine Learning for GNSS Signal Spoofing Detection with Validation on Real-World Meaconing and Spoofing Data---Part I,10.3390/s20041171,background,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
rado2024recent,Recent Advances on Jamming and Spoofing Detection in GNSS,10.3390/s24134210,background,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
varshosaz2019spoofing,Spoofing Detection of Civilian UAVs Using Visual Odometry,10.3390/ijgi9010006,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
sedjelmaci2018hierarchical,A Hierarchical Detection and Response System to Enhance Security Against Lethal Cyber-Attacks in UAV Networks,10.1109/tsmc.2017.2681698,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
liu2022trusted,Trusted Multi-View Deep Learning with Opinion Aggregation,10.1609/aaai.v36i7.20724,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
qian2025review,A Review of Multi-Sensor Fusion in Autonomous Driving,10.3390/s25196033,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
neto2023ciciot2023,CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment,10.3390/s23135941,background,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
alsaedi2020ton,TON\_IoT Telemetry Dataset: A New Generation Dataset of IoT and IIoT for Data-Driven Intrusion Detection Systems,10.1109/access.2020.3022862,background,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
ferrag2022edge,Edge-IIoTset: A New Comprehensive Realistic Cyber Security Dataset of IoT and IIoT Applications for Centralized and Federated Learning,10.1109/access.2022.3165809,background,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
martin2017aqua,Aqua-Sim Next Generation,10.1145/3148675.3148679,background,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
shah2018airsim,AirSim: High-Fidelity Visual and Physical Simulation for Autonomous Vehicles,10.1007/978-3-319-67361-5_40,background,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
